,City,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind speed
183,khor,RU,47.8861,134.9464,-24.61,83,100,12.53
184,andira,BR,-0.7385,-47.8437,84.38,65,100,8.61
185,ponta do sol,PT,32.6667,-17.1,61.0,67,78,1.99
186,wladyslawowo,PL,54.7909,18.4009,32.0,86,75,8.05
187,lebu,CL,-37.6167,-73.65,62.76,67,44,14.14
188,hamilton,US,39.1834,-84.5333,33.8,55,1,10.36
189,saint anthony,US,45.0205,-93.218,25.0,86,90,6.91
190,hervey bay,AU,-25.2986,152.8535,73.99,94,75,10.36
191,atuona,PF,-9.8,-139.0333,77.83,80,3,17.0
192,alofi,NU,-19.0595,-169.9187,80.6,89,99,6.91
193,kalinovskoye,RU,44.8635,42.9622,44.02,65,0,2.24
194,dikson,RU,73.5069,80.5464,-22.09,82,0,12.59
195,mezen,RU,65.8522,44.24,17.94,97,100,6.08
196,pali,IN,25.7667,73.3333,60.15,31,0,5.26
197,beringovskiy,RU,63.05,179.3167,8.35,95,100,7.07
198,collierville,US,35.042,-89.6645,43.0,49,1,6.91
199,tambovka,RU,50.0969,128.0489,-16.6,58,0,6.71
200,akyab,MM,20.15,92.9,59.79,64,0,7.2
201,wagar,SD,16.1525,36.2032,75.11,55,0,10.27
202,lubumbashi,CD,-11.6609,27.4794,64.4,94,100,2.21
203,vao,NC,-22.6667,167.4833,77.49,87,100,43.22
204,lavrentiya,RU,65.5833,-171.0,5.2,88,100,22.75
205,oktyabrskoye,RU,43.0645,44.7417,32.0,80,11,8.95
206,muros,ES,42.7762,-9.0603,57.99,84,100,8.99
207,new norfolk,AU,-42.7826,147.0587,57.0,70,99,1.57
208,broome,US,42.2506,-75.833,28.0,80,90,12.66
209,axim,GH,4.8699,-2.2405,80.01,84,8,7.76
210,guadalupe y calvo,MX,26.1,-106.9667,68.49,23,65,8.48
211,roquetas de mar,ES,36.7642,-2.6148,57.99,88,0,2.3
212,tongliao,CN,43.6125,122.2653,-12.59,82,0,8.84
213,narsaq,GL,60.9167,-46.05,24.8,68,75,8.05
214,nioro,GM,13.35,-15.75,85.03,12,0,2.59
215,chincholi,IN,17.4667,77.4333,67.01,27,0,9.04
216,contamana,PE,-7.3333,-75.0167,95.81,40,79,6.24
217,dingle,PH,10.9995,122.6711,73.85,92,100,7.96
218,davila,PH,18.4726,120.5763,73.4,73,20,5.75
219,pangnirtung,CA,66.1451,-65.7125,-22.0,63,20,1.59
220,altayskoye,RU,51.9533,85.3325,18.3,90,29,3.65
221,saint-georges,GD,12.0564,-61.7485,82.4,65,20,24.16
222,ballina,AU,-28.8667,153.5667,68.0,94,90,8.05
223,praia da vitoria,PT,38.7333,-27.0667,55.0,66,20,27.58
224,kupang,ID,-10.1667,123.5833,79.25,83,100,7.92
225,vardo,NO,70.3705,31.1107,24.8,93,90,24.16
226,sechura,PE,-5.5569,-80.8222,81.73,56,38,16.17
227,bodden town,KY,19.2833,-81.25,78.8,50,40,10.36
228,korla,CN,41.7597,86.1469,24.62,82,12,1.72
229,yatou,CN,37.15,122.3833,25.23,81,0,4.59
230,upington,ZA,-28.4478,21.2561,78.8,44,10,10.36
231,medicine hat,CA,50.0501,-110.6683,53.01,46,75,23.02
232,fez,MA,34.0372,-4.9998,57.2,77,0,3.44
233,ixtapa,MX,20.7,-105.2,75.2,78,75,9.22
234,havelock,US,34.8791,-76.9013,43.0,56,90,17.27
235,east london,ZA,-33.0153,27.9116,69.8,78,0,16.11
236,filingue,NE,14.3521,3.3168,74.84,15,0,6.82
237,las palmas,ES,28.4204,-14.0131,64.4,82,20,5.75
238,cidreira,BR,-30.1811,-50.2056,80.64,75,0,11.21
239,plettenberg bay,ZA,-34.0527,23.3716,69.98,69,0,3.27
240,pouebo,NC,-20.4,164.5667,72.64,84,100,6.6
241,hirara,JP,24.8,125.2833,64.13,75,81,24.65
242,kirksville,US,40.1948,-92.5833,35.01,74,1,3.44
243,bilibino,RU,68.0546,166.4372,-3.06,85,6,5.32
244,arlit,NE,18.7369,7.3853,70.59,20,0,10.63
245,macapa,BR,0.0389,-51.0664,86.0,79,75,4.61
246,yumen,CN,40.2833,97.2,26.37,66,100,10.98
247,puerto escondido,MX,15.85,-97.0667,86.0,70,1,6.91
248,dickinson,US,29.4608,-95.0513,64.0,41,1,6.91
249,inhambane,MZ,-23.865,35.3833,80.6,94,75,3.44
250,codrington,AU,-38.2667,141.9667,57.65,79,88,7.74
251,chipata,ZM,-13.6333,32.65,66.07,92,5,3.49
252,lengshuijiang,CN,27.6881,111.4294,47.39,89,28,1.57
253,hofn,IS,64.2539,-15.2082,32.47,92,100,15.9
254,oranjemund,NA,-28.55,16.4333,65.97,83,0,4.21
255,inta,RU,66.0317,60.1659,12.58,95,100,16.37
256,kurilsk,RU,45.2333,147.8833,16.47,88,100,30.49
257,bani,DO,18.2833,-70.3333,86.0,66,40,13.8
258,gola gokarannath,IN,28.0833,80.4667,54.0,55,0,4.99
259,nizhneangarsk,RU,55.7833,109.55,-22.65,74,0,2.33
260,cumpas,MX,29.9833,-109.7833,75.4,25,97,4.29
261,tura,IN,25.5198,90.2201,57.33,54,0,2.8
262,goulburn,AU,-34.75,149.7167,51.01,91,0,1.61
263,leningradskiy,RU,69.3833,178.4167,-3.37,88,100,21.45
264,kaitangata,NZ,-46.2817,169.8464,64.0,91,100,5.99
265,custodia,BR,-8.0875,-37.6431,90.86,27,63,12.62
266,otacilio costa,BR,-27.4831,-50.1219,77.94,84,39,0.94
267,kahului,US,20.8947,-156.47,75.2,69,20,2.15
268,wasco,US,35.5941,-119.341,70.0,36,1,4.61
269,sinop,TR,41.7711,34.8709,50.13,51,100,11.54
270,kununurra,AU,-15.7667,128.7333,77.0,100,75,9.22
271,nabire,ID,-3.3667,135.4833,75.34,87,100,2.93
272,madiun,ID,-7.6298,111.5239,74.39,92,93,0.65
273,beckley,US,37.7782,-81.1882,25.0,86,90,14.97
274,portobelo,PA,9.55,-79.65,89.01,64,15,5.99
275,clyde river,CA,70.4692,-68.5914,-29.2,68,40,5.75
276,issoire,FR,45.55,3.25,55.4,76,90,12.66
277,luau,AO,-10.7073,22.2247,66.99,96,100,3.98
278,airai,TL,-8.9266,125.4092,61.38,100,100,2.48
279,gavle,SE,60.6745,17.1417,23.0,81,100,8.99
280,nangal,IN,31.3667,76.3833,55.51,43,79,4.29
281,firozpur,IN,30.9167,74.6,51.8,87,40,5.26
282,mae sot,TH,16.7167,98.5667,65.03,53,0,0.87
283,sorland,NO,67.667,12.6934,28.4,69,75,13.8
284,kamariotissa,GR,40.4833,25.4667,53.6,94,20,6.15
285,longyearbyen,SJ,78.2186,15.6401,19.4,93,90,11.5
286,stromness,GB,58.965,-3.296,35.6,75,0,12.66
287,conil,FR,44.9673,3.7177,41.76,100,99,7.58
288,tsiroanomandidy,MG,-18.7667,46.0333,72.18,87,16,2.57
289,akom,CM,2.6678,12.7109,73.54,77,95,3.15
290,gilgit,PK,35.9221,74.3087,36.91,66,100,3.62
291,maceio,BR,-9.6658,-35.7353,84.2,65,40,5.75
292,urdoma,RU,61.7533,48.5442,18.73,96,100,8.63
293,owensboro,US,37.7742,-87.1133,35.6,64,90,12.66
294,enshi,CN,30.3,109.4833,44.1,77,19,0.74
295,uray,RU,60.1247,64.7758,7.74,96,49,4.36
296,riyadh,SA,24.6877,46.7219,66.2,24,0,8.05
297,green river,US,41.5286,-109.4662,35.6,48,1,4.61
298,tocopilla,CL,-22.092,-70.1979,73.08,45,78,5.79
299,lasa,IT,46.6166,10.7002,35.01,86,0,3.62
300,menongue,AO,-14.6585,17.691,65.43,75,100,3.15
301,araguari,BR,-18.6472,-48.1872,82.4,51,75,6.91
302,kanata,CA,45.3159,-75.8985,32.0,80,90,18.41
303,san javier,ES,37.8063,-0.8374,57.99,94,0,5.75
304,fernie,CA,49.5,-115.0687,37.4,75,100,6.91
305,belaya gora,RU,68.5333,146.4167,-21.35,87,97,5.82
306,huichapan,MX,20.3833,-99.65,66.2,34,40,7.43
307,lazaro cardenas,MX,17.9583,-102.2,83.48,58,0,10.36
308,lompoc,US,34.6391,-120.4579,62.01,67,1,3.44
309,lewistown,US,40.5992,-77.5714,30.99,80,90,9.22
310,mokshan,RU,53.4365,44.6132,25.0,68,100,7.74
311,solnechnyy,RU,50.7214,136.6319,-24.11,84,100,2.8
312,henties bay,NA,-22.116,14.2845,68.0,86,8,9.64
313,aklavik,CA,68.2191,-135.0107,-25.6,68,40,4.61
314,liverpool,GB,53.4106,-2.9779,46.99,100,75,10.36
315,irbil,IQ,36.1926,44.0106,42.8,87,0,2.3
316,tiznit,MA,29.5833,-9.5,67.55,53,100,1.32
317,vestmanna,FO,62.1564,-7.1664,33.8,93,40,8.05
318,montrose,US,38.4166,-108.2673,48.99,42,52,1.99
319,mnogovershinnyy,RU,53.9353,139.9242,-35.63,84,98,5.03
320,college,US,64.8569,-147.8028,-20.2,68,20,6.91
321,tuatapere,NZ,-46.1333,167.6833,60.08,82,100,3.33
322,nishihara,JP,26.1842,127.7558,60.8,54,20,8.05
323,susanville,US,40.4163,-120.653,44.6,61,20,8.05
324,letpadan,MM,17.7833,95.75,60.8,45,0,0.16
325,sisimiut,GL,66.9395,-53.6735,-5.49,82,0,12.08
326,mianyang,CN,31.4593,104.7542,48.0,70,100,2.8
327,luderitz,NA,-26.6481,15.1594,65.59,84,0,12.3
328,norman wells,CA,65.282,-126.8329,-18.4,76,90,16.11
329,pacasmayo,PE,-7.4006,-79.5714,74.68,67,4,14.09
330,san felipe,VE,10.3399,-68.7425,88.05,43,48,4.83
331,jiangyou,CN,31.7667,104.7167,47.59,71,100,0.49
332,khorixas,NA,-20.3667,14.9667,70.5,52,0,13.6
333,boyolangu,ID,-8.1181,111.8935,75.11,89,100,3.98
334,wawa,NG,9.9022,4.4192,82.26,19,1,2.24
335,visby,SE,57.6409,18.296,27.0,92,49,3.44
336,gonzalez,US,30.5816,-87.2914,55.0,32,1,13.8
337,lodja,CD,-3.4833,23.4333,72.97,78,81,2.19
338,new port richey,US,28.2442,-82.7193,53.01,69,0,8.99
339,lorengau,PG,-2.0226,147.2712,81.27,83,99,10.87
340,tautira,PF,-17.7333,-149.15,86.0,66,20,3.44
341,srednekolymsk,RU,67.45,153.6833,-29.16,81,36,1.43
342,kortkeros,RU,61.8106,51.5806,23.0,100,90,6.71
343,mokhsogollokh,RU,61.4681,128.9203,-38.49,80,100,7.63
344,port moresby,PG,-9.4431,147.1797,75.2,100,75,9.22
345,silver city,US,32.7701,-108.2803,64.0,27,1,4.61
346,shaki,AZ,41.0833,47.1667,42.8,100,90,5.75
347,tynda,RU,55.1667,124.7167,-37.17,76,67,4.29
348,langsa,ID,4.4683,97.9683,74.61,89,80,2.06
349,palembang,ID,-2.9167,104.7458,74.07,95,100,4.47
350,vostok,RU,46.4856,135.8833,-27.94,86,100,6.29
351,ilulissat,GL,69.2167,-51.1,-2.2,71,75,20.71
352,tacarigua,VE,10.0862,-67.9198,91.4,52,40,4.0
353,katsuura,JP,35.1333,140.3,42.8,49,0,4.61
354,mogok,MM,22.9167,96.5,53.01,53,0,1.77
355,kruisfontein,ZA,-34.0033,24.7314,69.01,81,0,1.01
356,qaqortoq,GL,60.7167,-46.0333,24.8,68,75,8.05
357,cajazeiras,BR,-6.8903,-38.5553,93.76,24,100,6.42
358,lima,PE,-12.0432,-77.0282,78.8,61,0,4.61
359,hudiksvall,SE,61.729,17.1036,12.4,96,100,10.27
360,fatehpur,IN,25.9333,80.8,55.24,50,19,3.6
361,thunder bay,CA,48.4001,-89.3168,28.99,59,20,5.75
362,petropavlovsk-kamchatskiy,RU,53.0452,158.6483,14.0,85,90,11.18
363,vangaindrano,MG,-23.35,47.6,78.06,88,48,5.82
364,belur,IN,13.1667,75.8667,63.3,63,0,7.83
365,ormara,PK,25.2088,64.6357,70.36,73,0,11.74
366,bandarbeyla,SO,9.4942,50.8122,73.65,69,21,17.11
367,gizo,SB,-8.103,156.8419,80.31,84,100,12.82
368,sao felix do xingu,BR,-6.6447,-51.995,84.02,80,86,4.0
369,fort nelson,CA,58.8053,-122.7002,-7.6,71,90,8.05
370,banawang,PH,14.6121,120.39,75.2,73,20,6.91
371,villacarrillo,ES,38.1156,-3.0848,45.7,87,0,0.69
372,malinyi,TZ,-8.9333,36.1333,72.41,92,0,1.59
373,huntington,US,38.4193,-82.4452,34.0,64,90,11.5
374,jabinyanah,TN,35.035,10.9081,62.6,51,20,3.44
375,helong,CN,42.5397,128.9972,-2.52,79,1,9.55
376,sukumo,JP,32.9333,132.7333,36.7,79,1,11.65
377,vallenar,CL,-28.5708,-70.7581,83.57,23,2,11.97
378,okhotsk,RU,59.3833,143.3,-21.59,85,100,12.17
379,freetown,SL,8.484,-13.2299,82.4,74,75,9.22
380,prince george,CA,53.9166,-122.753,17.01,85,90,9.22
381,guerrero negro,MX,27.9769,-114.0611,76.84,23,100,1.99
382,kambam,ID,5.2505,96.8629,77.9,82,100,5.28
383,posse,BR,-14.0931,-46.3694,81.77,57,88,1.68
384,yulara,AU,-25.2406,130.9889,77.0,33,34,6.91
385,konakovo,RU,56.7,36.7667,17.44,96,100,5.95
386,moindou,NC,-21.6924,165.677,69.8,94,75,20.71
387,luwuk,ID,-0.9516,122.7875,77.09,79,100,4.68
388,los llanos de aridane,ES,28.6585,-17.9182,66.2,77,90,11.5
389,puerto del rosario,ES,28.5004,-13.8627,64.4,82,20,5.75
390,chacabuco,AR,-34.6417,-60.4739,75.0,68,72,4.0
391,sur,OM,22.5667,59.5289,66.16,73,0,2.59
392,marienburg,PL,54.0359,19.0266,30.0,90,100,5.1
393,valea stanciului,RO,43.9833,23.8667,41.0,93,90,4.61
394,trojes,AL,41.756,19.962,46.4,93,0,2.95
395,buchanan,LR,5.8808,-10.0467,78.8,94,75,7.16
396,chhatak,BD,25.0333,91.6667,58.26,65,0,5.06
397,kristiansund,NO,63.1115,7.732,21.2,79,0,5.75
398,marystown,CA,47.1666,-55.1483,29.3,93,100,15.88
399,ixcatepec,MX,21.2,-97.95,68.9,62,2,6.29
400,concepcion del uruguay,AR,-32.4825,-58.2372,72.0,87,89,4.0
401,vanimo,PG,-2.6741,141.3028,78.03,85,100,9.48
402,santa rosa,PH,14.3122,121.1114,77.0,83,20,2.3
403,medyn,RU,54.9692,35.8586,3.2,85,100,5.08
404,sorong,ID,-0.8833,131.25,78.08,85,100,8.28
405,si bun ruang,TH,16.9667,102.2833,70.86,55,19,5.84
406,glenwood springs,US,39.5505,-107.3248,46.99,74,90,4.61
407,lagoa,PT,39.05,-27.9833,55.38,66,19,38.77
408,fallon,US,39.4735,-118.7774,55.4,38,40,14.97
409,fort saint james,CA,54.4333,-124.25,5.81,91,100,3.51
410,cayenne,GF,4.9333,-52.3333,78.8,94,75,11.5
411,methoni,GR,36.8197,21.7049,55.0,100,96,3.44
412,laurel,US,39.0993,-76.8483,35.6,93,90,12.66
413,mahibadhoo,MV,3.7833,72.9667,82.44,79,45,17.76
414,tateyama,JP,34.9833,139.8667,42.8,49,0,4.61
415,winnipeg,CA,49.8844,-97.147,25.0,74,100,2.3
416,tingo maria,PE,-9.2895,-76.0088,86.0,58,40,8.05
417,pervomayskaya,RU,43.4033,45.5261,32.0,93,68,4.47
418,robertsport,LR,6.7533,-11.3686,80.46,85,0,10.11
419,rosario,AR,-32.9468,-60.6393,75.2,64,75,5.75
420,staroutkinsk,RU,57.2302,59.3348,12.22,96,79,5.37
421,olga,RU,43.7444,135.2892,-6.32,76,6,13.96
422,kigoma,TZ,-4.8769,29.6267,73.9,78,62,2.93
423,gorontalo,ID,0.5412,123.0595,75.09,90,95,3.71
424,pascagoula,US,30.3658,-88.5561,54.0,35,1,6.91
425,dakar,SN,14.6937,-17.4441,69.8,78,0,9.22
